epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.947726,2.6035,3.46163,1.88288,0.09667,0.67442,0.08853,0.03309,2.32233,3.19626,1.4254,0,0,0
2,1.48425,2.45494,3.36067,1.89932,0.09667,0.67442,0.09096,0.0342,2.29485,3.19505,1.41322,1.934e-05,1.934e-05,1.934e-05
3,2.01633,2.65678,3.48105,1.76021,0.09667,0.67442,0.0941,0.03768,2.22529,3.18921,1.37577,3.736e-05,3.736e-05,3.736e-05
4,2.538,2.54727,3.39844,1.82263,0.1,0.69767,0.09704,0.04355,2.13572,3.1878,1.32993,5.406e-05,5.406e-05,5.406e-05
5,3.4364,2.45051,3.53031,1.52429,0.1,0.69767,0.10697,0.05278,2.03328,3.17786,1.27255,6.944e-05,6.944e-05,6.944e-05
6,4.01671,2.62381,3.49205,1.54421,0.11667,0.81395,0.13179,0.06186,1.92308,3.16386,1.22427,8.35e-05,8.35e-05,8.35e-05
7,4.6262,2.00296,3.04772,1.61577,0.12667,0.88372,0.14536,0.07121,1.82215,3.15288,1.18232,9.624e-05,9.624e-05,9.624e-05
8,5.1817,2.21726,3.39345,1.35925,0.13,0.90698,0.14473,0.07284,1.73731,3.1518,1.13918,0.00010766,0.00010766,0.00010766
9,5.72311,1.91708,3.06038,1.43705,0.13333,0.93023,0.14867,0.07714,1.6562,3.14621,1.10421,0.00011776,0.00011776,0.00011776
10,6.2407,1.7737,2.77223,1.39018,0.13333,0.93023,0.15545,0.08038,1.60611,3.13786,1.08515,0.00012654,0.00012654,0.00012654
11,6.77539,2.27924,3.12418,1.35386,0.13333,0.93023,0.16384,0.08583,1.58158,3.13338,1.07155,0.000134,0.000134,0.000134
12,7.29917,1.77104,2.67768,1.39526,0.13333,0.93023,0.17092,0.08372,1.57374,3.12604,1.05724,0.00014014,0.00014014,0.00014014
13,7.79273,2.17611,2.78773,1.31197,0.13333,0.93023,0.19089,0.09315,1.57476,3.11642,1.05421,0.00014496,0.00014496,0.00014496
14,8.32213,1.6547,2.4962,1.31157,0.13333,0.93023,0.23017,0.10169,1.57355,3.10005,1.05409,0.00014846,0.00014846,0.00014846
15,8.83709,1.75407,2.28837,1.44077,0.13333,0.93023,0.26302,0.11413,1.58733,3.08917,1.06235,0.00015064,0.00015064,0.00015064
16,9.35394,1.65327,2.1565,1.19895,0.13333,0.93023,0.24612,0.10857,1.60235,3.06414,1.0664,0.0001515,0.0001515,0.0001515
17,9.8674,1.80933,2.3723,1.28803,0.13333,0.93023,0.23074,0.09978,1.59638,3.02876,1.06329,0.00015104,0.00015104,0.00015104
18,10.3606,1.90695,2.31062,1.19898,0.13333,0.93023,0.23074,0.09978,1.59638,3.02876,1.06329,0.00014926,0.00014926,0.00014926
19,10.9,1.79852,2.09678,1.23231,0.13333,0.93023,0.22983,0.1035,1.58792,2.98462,1.05825,0.00014616,0.00014616,0.00014616
20,11.3816,1.65175,1.84431,1.3196,0.13333,0.93023,0.22983,0.1035,1.58792,2.98462,1.05825,0.00014174,0.00014174,0.00014174
21,11.9689,1.5967,1.64279,1.22334,0.13667,0.95349,0.23304,0.10925,1.57513,2.92361,1.05499,0.000136,0.000136,0.000136
22,12.4574,1.5228,1.51397,1.15,0.13667,0.95349,0.23304,0.10925,1.57513,2.92361,1.05499,0.00012894,0.00012894,0.00012894
23,12.9701,2.52235,1.50769,1.44743,0.13667,0.95349,0.23886,0.11299,1.56506,2.86341,1.05525,0.00012056,0.00012056,0.00012056
24,13.4399,1.6466,1.39916,1.16761,0.13667,0.95349,0.23886,0.11299,1.56506,2.86341,1.05525,0.00011086,0.00011086,0.00011086
25,13.9914,1.61313,1.41709,1.16118,0.13667,0.95349,0.24281,0.12062,1.55495,2.81015,1.05816,9.984e-05,9.984e-05,9.984e-05
26,14.4894,1.63498,1.31855,1.23098,0.13667,0.95349,0.24281,0.12062,1.55495,2.81015,1.05816,8.75e-05,8.75e-05,8.75e-05
27,15.0303,1.65785,1.33655,1.15644,0.13667,0.95349,0.2727,0.14371,1.54694,2.76052,1.05663,7.384e-05,7.384e-05,7.384e-05
28,15.507,1.59409,1.30336,1.14264,0.13667,0.95349,0.2727,0.14371,1.54694,2.76052,1.05663,5.886e-05,5.886e-05,5.886e-05
29,16.0412,1.61752,1.30817,1.26745,0.13667,0.95349,0.34707,0.1863,1.54136,2.72929,1.05805,4.256e-05,4.256e-05,4.256e-05
30,16.5372,1.63771,1.31343,1.27391,0.13667,0.95349,0.34707,0.1863,1.54136,2.72929,1.05805,2.494e-05,2.494e-05,2.494e-05
